ASIN,YEAR,MONTH,DAY,ORDER_FEATURE,DESCRIBE_FEATURE,STAR_FEATURE,,,,,,
B00C5AHTVQ,2022,1,24,2,Moisturizing,4.4,,,,,,
B00C5AHTVQ,2022,1,24,3,Softness,4.3,,,,,,
B094KY78HJ,2022,1,24,1,Easy to use,4.7,,,,,,
B094KY78HJ,2022,1,24,2,Value for money,4.5,,,,,,
B094KY78HJ,2022,1,24,3,Scent,4.1,,,,,,
B0038TXGL0,2022,1,24,1,Softness,4.1,,,,,,
B0038TXGL0,2022,1,24,2,Scent,4.1,,,,,,
B0038TXGL0,2022,1,24,3,Moisturizing,4.1,,,,,,
B0842YG95G,2022,1,24,1,Value for money,4.7,,,,,,
B0842YG95G,2022,1,24,2,Scent,4.5,,,,,,
B0842YG95G,2022,1,24,3,Softness,4.5,,,,,,
B0842YG95G,2022,1,24,4,Moisturizing,4.4,,,,,,
B0842YG95G,2022,1,24,5,Sheerness,4.4,,,,,,
B00EHD9872,2022,1,24,1,For sensitive skin,4.5,,,,,,
B00EHD9872,2022,1,24,2,Softness,4.3,,,,,,
B00EHD9872,2022,1,24,3,Scent,4.3,,,,,,
B00EHD9872,2022,1,24,4,Value for money,4.1,,,,,,
B00AINMFAC,2022,1,24,1,Value for money,4.4,,,,,,
B00AINMFAC,2022,1,24,2,Scent,4.2,,,,,,
B00AINMFAC,2022,1,24,3,Softness,4.2,,,,,,
B00AINMFAC,2022,1,24,4,Moisturizing,4.1,,,,,,
B07BHCB9Y2,2022,1,24,1,Softness,4.1,,,,,,
B07BHCB9Y2,2022,1,24,2,Moisturizing,4.1,,,,,,
B07BHCB9Y2,2022,1,24,3,Hair quality,4,,,,,,
B07BHCB9Y2,2022,1,24,4,Ingredient quality,4,,,,,,
B07BHCB9Y2,2022,1,24,5,Scent,3.9,,,,,,
B07NQ69L7P,2022,1,24,1,Easy to use,4.7,,,,,,
B07NQ69L7P,2022,1,24,2,Softness,4.5,,,,,,
B07NQ69L7P,2022,1,24,3,Scent,4.4,,,,,,
B07NQ69L7P,2022,1,24,4,Sheerness,4.4,,,,,,
B07NQ69L7P,2022,1,24,5,Value for money,4.4,,,,,,
B07NQ69L7P,2022,1,24,6,Moisturizing,4.4,,,,,,
B0743CZWCP,2022,1,24,1,Scent,4.3,,,,,,
B0743CZWCP,2022,1,24,2,Sheerness,4.2,,,,,,
B0743CZWCP,2022,1,24,3,Moisturizing,3.8,,,,,,
B0743CZWCP,2022,1,24,4,Softness,3.8,,,,,,
B08T47QVNR,2022,1,24,1,Moisturizing,4.2,,,,,,
B08T47QVNR,2022,1,24,2,Scent,4.1,,,,,,
B08T47QVNR,2022,1,24,3,Value for money,3.9,,,,,,
B074VLGVJ3,2022,1,24,1,Scent,4.6,,,,,,
B074VLGVJ3,2022,1,24,2,Value for money,4.6,,,,,,
B074VLGVJ3,2022,1,24,3,Sheerness,4.5,,,,,,
B074VLGVJ3,2022,1,24,4,Moisturizing,4.4,,,,,,
B074VLGVJ3,2022,1,24,5,Softness,4.3,,,,,,
B086S4Q7JH,2022,1,24,1,Scent,4.6,,,,,,
B086S4Q7JH,2022,1,24,2,Moisturizing,4.6,,,,,,
B086S4Q7JH,2022,1,24,3,Sheerness,4.5,,,,,,
B086S4Q7JH,2022,1,24,4,Softness,4.3,,,,,,
B086S4Q7JH,2022,1,24,5,Value for money,4.2,,,,,,
B0038TXGL0,2022,1,24,1,Softness,4.1,,,,,,
B0038TXGL0,2022,1,24,2,Scent,4.1,,,,,,
