B076PV19DW,2022,3,16,shampoo,16,11,9330,4.3,9.52,0,0,1,1,0,0,0,0,0,0,0,6.76 Fl Oz (Pack of 1),"Mon, Mar 21",($1.56/Fl Oz),"Indulekha Bringha Anti Hair Fall Shampoo (Hair Cleanser) 200ml, 6.76 oz",http://amazon.com/Indulekha-Bringha-Shampoo-Cleanser-200ml/dp/B076PV19DW/ref=sr_1_731?keywords=Hair+Shampoo&qid=1647365583&s=beauty&sr=1-731,2022-03-16 01:33:55.017463
B09THMKHCQ,2022,3,16,shampoo,16,12,0,0,39.99,52.98,0,0,1,0,0,0,0,0,0,0,0,0,0,Herbishh Pro Argan + Hair Color Shampoo Kit contains Hair Color Shampoo Black 500ml for Grey Hair + Pro-Keratin Argan Hair Mask 100 gm to enhance your hair strength and shine after Color Shampoo,http://amazon.com/Herbishh-Shampoo-contains-Pro-Keratin-strength/dp/B09THMKHCQ/ref=sr_1_732?keywords=Hair+Shampoo&qid=1647365583&s=beauty&sr=1-732,2022-03-16 01:33:59.200471
B08MJH1VSG,2022,3,16,shampoo,16,13,275,4.3,19.98,0,0,1,1,0,0,0,0,0,Save more with Subscribe & Save,0,6 Count (Pack of 1),"Thu, Mar 17",($3.33/Count),"Revive Rinse-Free Shampoo Cap, Shampoo and Condition Hair with No Water, Microwaveable Shampoo Cap - Pack of 6",http://amazon.com/Revive-Rinse-Free-Shampoo-Condition-Microwaveable/dp/B08MJH1VSG/ref=sr_1_733?keywords=Hair+Shampoo&qid=1647365583&s=beauty&sr=1-733,2022-03-16 01:34:03.389319
B07RCNNVHS,2022,3,16,shampoo,16,14,565,4.4,5.99,0,0,1,1,0,0,0,0,0,$5.69 with Subscribe & Save discount,0,6 Fl Oz (Pack of 1),"Tomorrow, Mar 16",($1.00/Fl Oz),"Design Essentials Moroccan Argan Oil Sulfate-Free Conditioning Shampoo- Wigs & Extensions Collection, Yellow, 6 Ounce (Packaging may vary)",http://amazon.com/Design-Essentials-Protective-Sulfate-Free-Conditioning/dp/B07RCNNVHS/ref=sr_1_734?keywords=Hair+Shampoo&qid=1647365583&s=beauty&sr=1-734,2022-03-16 01:34:07.561079
B007XNNF72,2022,3,16,shampoo,16,15,214,4.2,30.00,0,0,1,1,0,0,0,0,0,Save more with Subscribe & Save,0,9.46 Fl Oz (Pack of 1),"Tomorrow, Mar 16",($3.17/Ounce),Davines Davines Alchemic Shampoo 9 46,http://amazon.com/Davines-Alchemic-Shampoo-Red-fl-oz/dp/B007XNNF72/ref=sr_1_735?keywords=Hair+Shampoo&qid=1647365583&s=beauty&sr=1-735,2022-03-16 01:34:11.745108
B016KPM1AA,2022,3,16,shampoo,16,16,1044,4.5,12.95,0,0,1,1,0,0,0,0,0,$12.30 with Subscribe & Save discount,0,8 Fl Oz (Pack of 1),"Tomorrow, Mar 16",($1.62/Fl Oz),Tea Tree Shampoo for Oily Hair - Paraben and Sulfate Free Clarifying Shampoo for Build Up and Dry Scalp with Tea Tree Oil for Hair - Purifying Aromatherapy Tea Tree Oil Shampoo for Greasy Hair,http://amazon.com/Tea-Tree-Oil-Shampoo-Holistics/dp/B016KPM1AA/ref=sr_1_736?keywords=Hair+Shampoo&qid=1647365583&s=beauty&sr=1-736,2022-03-16 01:34:15.938244
B08W1X8JSM,2022,3,16,shampoo,16,17,14,4.9,15.03,30.00,0,0,1,0,0,0,0,0,0,0,18.6 Ounce (Pack of 1),0,($15.03/Count),"RYO Hair Strengthen & Volume Shampoo 550ml (18.6oz) Extra Strength Volumizing Shampoo, Thicker and Fuller Hair, Promote Hair Growth, For Thinning Hair and Hair Loss, Men and Women Shampoo, All Hair Types",http://amazon.com/Strengthen-Shampoo-Strength-Volumizing-Thinning/dp/B08W1X8JSM/ref=sr_1_737?keywords=Hair+Shampoo&qid=1647365583&s=beauty&sr=1-737,2022-03-16 01:34:20.111226
B099CKWDKN,2022,3,16,shampoo,16,18,90,4.5,26.00,0,0,1,1,0,0,0,0,0,Save more with Subscribe & Save,0,10.1 Fl Oz,"Tomorrow, Mar 16",($2.57/Fl Oz),"L'Occitane Intensive Repair Shampoo, 10.1 fl. oz.",http://amazon.com/LOccitane-Intensive-Repair-Shampoo-10-1/dp/B099CKWDKN/ref=sr_1_738?keywords=Hair+Shampoo&qid=1647365583&s=beauty&sr=1-738,2022-03-16 01:34:24.306468
B07BDFVCBB,2022,3,16,shampoo,16,19,263,4.3,19.95,0,0,1,1,0,0,0,0,0,Save more with Subscribe & Save,0,8 Fl Oz (Pack of 1),"Tomorrow, Mar 16",($2.49/Fl Oz),"Hair Thickening Shampoo for Women – Advanced Color Safe Hair Thickening Products for Women - Nourish & Transform Thin, Dry Hair to Vibrant, Shiny, Voluminous Hair Guaranteed - Get Back Gorgeous",http://amazon.com/Hair-Thickening-Shampoo-Women-Voluminous/dp/B07BDFVCBB/ref=sr_1_739?keywords=Hair+Shampoo&qid=1647365583&s=beauty&sr=1-739,2022-03-16 01:34:28.507708
B00K34NH4O,2022,3,16,shampoo,16,20,1125,4.8,24.23,28.50,0,1,1,0,0,0,0,0,Save more with Subscribe & Save,0,33.8 Fl Oz (Pack of 1),"Tomorrow, Mar 16",($0.72/Fl Oz),"Paul Mitchell MITCH Heavy Hitter Daily Deep Cleansing Shampoo for Men, For All Hair Types",http://amazon.com/MITCH-Heavy-Hitter-Cleansing-Shampoo/dp/B00K34NH4O/ref=sr_1_740?keywords=Hair+Shampoo&qid=1647365583&s=beauty&sr=1-740,2022-03-16 01:34:32.693132
B00GIFFWH2,2022,3,16,shampoo,16,21,295,4.2,24.90,26.95,0,0,1,0,0,0,0,0,0,0,2 Count (Pack of 1),0,($24.90/Count),Kerasys Lovely and Romantic Perfumed Shampoo and Rinse,http://amazon.com/Kerasys-Lovely-Romantic-Perfumed-Shampoo/dp/B00GIFFWH2/ref=sr_1_741?keywords=Hair+Shampoo&qid=1647365583&s=beauty&sr=1-741,2022-03-16 01:34:36.874106
