B07GC7LMR9,2022,3,16,1,Jump & Jive for Victory Red!,5.0 out of 5 stars,3 people found this helpful,"Reviewed in the United States on May 1, 2020",Amazon Customer,,Verified Purchase,,"Amazing color! I have an olive undertone to my skin and I think this red is awesome! Created from an old formula, 1940s Victory Red makes me feel like I'm definitely winning! ;)",2022-03-16 05:05:08.450488
B07GC7LMR9,2022,3,16,2,You need this in your life,5.0 out of 5 stars,3 people found this helpful,"Reviewed in the United States on July 12, 2020",Shaughney R.,,Verified Purchase,,"The most perfect, amazing red color I've ever seen. The color I've been searching for my whole life. An amazing tip shape to really line and fill your lips, and a delightful, natural, soft and sweet smell. Well worth the money.",2022-03-16 05:05:08.450488
B07GC7LMR9,2022,3,16,3,A Fan.,5.0 out of 5 stars,One person found this helpful,"Reviewed in the United States on April 20, 2020",Jennifer Stephens,,Verified Purchase,,Absolutely stunning color. Trying to find a red that does not fade or look too pinkish. Will get another color.,2022-03-16 05:05:08.450488
B07GC7LMR9,2022,3,16,4,Holy grail of reds,5.0 out of 5 stars,2 people found this helpful,"Reviewed in the United States on March 21, 2020",UmmLayla,,Verified Purchase,,"This lipstick is long lasting and has minimal transfer. I’m fair with cool undertones, blue eyes, and dark blonde hair. The color is perfect for me!",2022-03-16 05:05:08.450488
B07GC7LMR9,2022,3,16,5,Perfect for dapper day,5.0 out of 5 stars,2 people found this helpful,"Reviewed in the United States on July 12, 2019",Michelle M.,,Verified Purchase,,"Beautiful, tasty, smells good, the works! Perfect for dapper day",2022-03-16 05:05:08.450488
B07GC7LMR9,2022,3,16,6,Love it!,5.0 out of 5 stars,2 people found this helpful,"Reviewed in the United States on July 6, 2019",Kellie,,Verified Purchase,,Love Besame lipstick...very rich color and long lasting,2022-03-16 05:05:08.450488
B07GC7LMR9,2022,3,16,7,Love the color and the tube,5.0 out of 5 stars,,"Reviewed in the United States on February 15, 2022",Amazon Customer,,Verified Purchase,,I love vintage,2022-03-16 05:05:08.450488
B07GC7LMR9,2022,3,16,8,!,5.0 out of 5 stars,,"Reviewed in the United States on May 3, 2019",Amazon Customer,,Verified Purchase,,Great lipstick,2022-03-16 05:05:08.450488
B071P6D614,2022,3,16,1,Perfect buy,5.0 out of 5 stars,,"Reviewed in the United States on November 7, 2019",IFRIEND,,Verified Purchase,,Love Clinique. Great lipstick.,2022-03-16 05:05:19.199890
B071P6D614,2022,3,16,2,Love it,5.0 out of 5 stars,,"Reviewed in the United States on July 13, 2019",Long,,Verified Purchase,,As I expected,2022-03-16 05:05:19.199890
B071P6D614,2022,3,16,3,AS ADVERTISED,5.0 out of 5 stars,,"Reviewed in the United States on March 23, 2019",Debi Haley ,,Verified Purchase,,EXACTLY WHAT I WANTED,2022-03-16 05:05:19.199890
B071P6D614,2022,3,16,4,Stays on great!,5.0 out of 5 stars,,"Reviewed in the United States on January 24, 2021",Jan Rogers,,Verified Purchase,,The shade is always right. Having a primer in it helps it stay on all day!,2022-03-16 05:05:19.199890
B071P6D614,2022,3,16,5,Moist and longlasting,5.0 out of 5 stars,One person found this helpful,"Reviewed in the United States on March 15, 2020",Minoan,,Verified Purchase,,I have older skin and this is one of the few lipsticks that is long wearing but does not dry out my lips.  I love it.,2022-03-16 05:05:19.199890
B07MJHLLG1,2022,3,16,1,Great creamy color,5.0 out of 5 stars,,"Reviewed in the United States on September 7, 2021",Kerry D. Hoctor,,Verified Purchase,,"This was a generous sized, well-made tube of lipstick. I would consider this a neutral as it’s not too pink, not too coral or red. It really is a great shade for this 68 year old young at heart!  No lipstick lasts long on the lips but this is as good as any.",2022-03-16 05:05:25.649328
B07MJHLLG1,2022,3,16,2,Buy again!,5.0 out of 5 stars,,"Reviewed in the United States on August 7, 2021",movielover,,Verified Purchase,,Like color & stay on quality and gloss softner,2022-03-16 05:05:25.649328
B07MJHLLG1,2022,3,16,3,Recommend,5.0 out of 5 stars,One person found this helpful,"Reviewed in the United States on December 16, 2019",JMama,,Verified Purchase,,Pretty shade.,2022-03-16 05:05:25.649328
B07MJHLLG1,2022,3,16,4,Beautiful color,5.0 out of 5 stars,,"Reviewed in the United States on December 6, 2021",Ayda M,,Verified Purchase,,Very smooth,2022-03-16 05:05:25.649328
B07MJHLLG1,2022,3,16,5,Beautiful color,5.0 out of 5 stars,,"Reviewed in the United States on November 29, 2021",Sharon Barnes,,Verified Purchase,,I already used this but I couldn’t find it in any stores so I was delighted to find it here. My fave lipstick,2022-03-16 05:05:25.649328
B07MJHLLG1,2022,3,16,6,beautiful color,5.0 out of 5 stars,,"Reviewed in the United States on October 15, 2020",Eileen,,Verified Purchase,,"Just the perfect pop of color for everyone, love it.",2022-03-16 05:05:25.649328
B07MJHLLG1,2022,3,16,7,Beautiful color,5.0 out of 5 stars,,"Reviewed in the United States on January 17, 2022",Anna,,Verified Purchase,,"I love this brand of lipstick. It is one of the only ones I’ve ever tried that actually moisturizes my lips. I was so disappointed when I found out the company went out of business, so I went on Amazon looking for lipstick to stock up. This is a beautiful color. It can be used day or night, and is my go to color almost every time I leave the house.",2022-03-16 05:05:25.649328
B07MJHLLG1,2022,3,16,8,Beautiful shade and moisturizing,5.0 out of 5 stars,,"Reviewed in the United States on February 27, 2020",Stephanie C,,,,"I love this! I got a mini size in a Christmas set, and just bought the regular size.",2022-03-16 05:05:25.649328
