B07FVBFZLZ,2022,3,16,1,Shampoo,1.0 out of 5 stars,One person found this helpful,"Reviewed in the United States on January 15, 2021",Terry,,Verified Purchase,,Hello whoever is reading this!,2022-03-16 01:14:53.268973
B07FVBFZLZ,2022,3,16,2,Makes Your Hair Sooo Soft,5.0 out of 5 stars,,"Reviewed in the United States on March 27, 2021",Barbara Cosindas,,Verified Purchase,,"I bought this shampoo the first time through my hairdresser and fell in love with it. Since I used it up and needed more I was delighted to find it on Amazon. Not only does it make you hair feel soft, but makes it feel healthier too.",2022-03-16 01:14:53.268973
B07FVBFZLZ,2022,3,16,3,The Best Hydrating Shampoo Ever,5.0 out of 5 stars,,"Reviewed in the United States on January 20, 2022",Amazon Customer,,Verified Purchase,,"The Eleven Australia Hydrate is the best shampoo to repair dry hair with split ends. It returns life & moisture back into damaged hair, just it claims to do. The price is worth the results!",2022-03-16 01:14:53.268973
B07FVBFZLZ,2022,3,16,4,Great Shampoo,5.0 out of 5 stars,,"Reviewed in the United States on December 26, 2021",breicheese,,Verified Purchase,,This is a great shampoo especially for dry hair. My hair is naturally curly and dry on the ends it works great at locking in the moisture.,2022-03-16 01:14:53.268973
B07FVBFZLZ,2022,3,16,5,Moisturized,5.0 out of 5 stars,,"Reviewed in the United States on December 1, 2020",Haeley Marie,,Verified Purchase,,One of my favorite shampoos ever! I have highlighted hair and this keeps it nice and moisturized.,2022-03-16 01:14:53.268973
B07FVBFZLZ,2022,3,16,6,Soft and smells good,5.0 out of 5 stars,2 people found this helpful,"Reviewed in the United States on April 16, 2019",Jacqueline M.,,Verified Purchase,,This was recommended by the barber and it really makes my hair feel nice and healthy. No dry brittle feeling and no frizz or static. Gives my hair a natural gloss. I'm picky about smells and this isn't too much fragrance and it's quite pleasant.,2022-03-16 01:14:53.268973
B07FVBFZLZ,2022,3,16,7,WAY TOO OVER PRICED DO NOT BUY,1.0 out of 5 stars,One person found this helpful,"Reviewed in the United States on June 20, 2021",Ana G.,,Verified Purchase,,Way over priced. If you go to the eleven australia website it is only $23 and it is a great product. and it is delivered within a week,2022-03-16 01:14:53.268973
B07FVBFZLZ,2022,3,16,8,Great Shampoo,5.0 out of 5 stars,,"Reviewed in the United States on November 30, 2020",Orthopatient,,Verified Purchase,,I really like this shampoo and conditioner. Other products were making my hair dried out and this product keeps my hair healthy and smooth. Would definitely recommend the line.,2022-03-16 01:14:53.268973
B00YQGA982,2022,3,16,1,Best silver toner for blonde hair,5.0 out of 5 stars,8 people found this helpful,"Reviewed in the United States on December 5, 2018",Donna,,Verified Purchase,,"My hair would definitely be married to this product. It does it’s job to maintain all my unicorn hair dreams for a long time. And the fade out is phenomenal. I’ve had the blue, silver/purple,rose/lavender hair and I have to say this product is bomb. You won’t regret adding it to your shower lineup. My tones typically last awhile before it starts to fade but even after 6 months before the next tone session, my hair has not turned a single time orange. Advice: buy this size and add the pump so you don’t have to fiddle with the cap every time.",2022-03-16 01:15:04.614295
B00YQGA982,2022,3,16,2,Messy box,5.0 out of 5 stars,7 people found this helpful,"Reviewed in the United States on January 24, 2020",RenaeK,,Verified Purchase,,Love this shampoo for my blonde going white 50+ year old hair.  Currently I have no addt'l highlights added and w this shampoo am done doing any more again.,2022-03-16 01:15:04.614295
