B08WLYRCRC,2022,3,16,1,Long lasting and smudge proof,1.0 out of 5 stars,,"Reviewed in the United States on January 27, 2022",Krishna panchal,,Verified Purchase,,"Worst product ever. I spent $14.99 and the product didn't even satisfy me. It is not long-lasting not even smudge-proof, leaving the marks of lipstick everywhere. I would prefer to spend $9.99 on Maybelline super last lipstick on which ill save money too. I would even give 1 star to it. I loved the idea of having it 5 in 1 but nowadays it's all about waterproof and smudge proof.",2022-03-16 04:31:15.988077
B08WLYRCRC,2022,3,16,2,Such GREAT shades!,5.0 out of 5 stars,,"Reviewed in the United States on May 28, 2021",Pavi ,,Verified Purchase,,"Absolutely LOVE these fun shades! This lipstick is very hydrating, easy to carry around and smells amazing! The color had not faded in the slightest and it sits on the lips without feeling too heavy. It’s long lasting and when I say that...I’m talking from coffee through lunch, dinner, cocktails and beyond. I’m totally satisfied with my purchase and you won’t be disappointed either!",2022-03-16 04:31:15.988077
B08WLYRCRC,2022,3,16,3,Was perfect,5.0 out of 5 stars,,"Reviewed in the United States on February 25, 2022",Sunshine,,Verified Purchase,,Was perfect...ordering some more...,2022-03-16 04:31:15.988077
B08WLYRCRC,2022,3,16,4,"Creative, excellent quality.",5.0 out of 5 stars,One person found this helpful,"Reviewed in the United States on May 24, 2021",Amazon Customer,,Verified Purchase,,Liked the packaging. Good moisture product.,2022-03-16 04:31:15.988077
B08WLYRCRC,2022,3,16,5,Travel friendly cosmetic,5.0 out of 5 stars,,"Reviewed in the United States on February 26, 2022",GhuMakkar ,,Verified Purchase,,"it gives me convenience of carrying 5 different shades of lipsticks in a very compact way. Additionally, I love all the neutral colors they offer",2022-03-16 04:31:15.988077
B08WLYRCRC,2022,3,16,6,Every color you will ever need love it thank you,5.0 out of 5 stars,,"Reviewed in the United States on March 12, 2022",Linda murray,,Verified Purchase,,Love it thank you all colors that i need in one unit thanks,2022-03-16 04:31:15.988077
B08WLYRCRC,2022,3,16,7,Think before buy,1.0 out of 5 stars,,"Reviewed in the United States on July 19, 2021",Tamanna Islam Atika,,Verified Purchase,,That was damaged. I had to return it immediately.,2022-03-16 04:31:15.988077
B08WLYRCRC,2022,3,16,8,Came all melted,1.0 out of 5 stars,,"Reviewed in the United States on August 7, 2021",vijay k.,,Verified Purchase,,Came all melted …very bad designing,2022-03-16 04:31:15.988077
