B07LGD13XT,2022,3,16,1,Rinse Free Body Cleanser,5.0 out of 5 stars,,"Reviewed in the United States on July 1, 2021",Amazon Customer,,Verified Purchase,,Great for washing your face in the mornings or touch up cleaning between showers and it is easy on the skin,2022-03-16 03:29:45.077116
B07LGD13XT,2022,3,16,2,good product.,5.0 out of 5 stars,,"Reviewed in the United States on March 21, 2019",John Finney,,Verified Purchase,,Used for bedside cleaning.,2022-03-16 03:29:45.077116
