ASIN,YEAR,MONTH,DAY,CATEGORY,PAGE,SEQUENCE,RATING_NUM,STAR,PRICR,PRICE_ORIGINAL,SPONSONED,PRIME,FREE_SHIPPING,JUST_SAVE_IN_RED,AMAZON_BRAND,BEST_SELLER,AMAZON_CHOICE,LIMITED_TIME_DEAL,SUBSCRIBE,COUPON,SPECIFICATION,DELIVERY_TIME,PRICE_OF_SEPC,TITLE,FULLURL
B0038TXGL0,2022,1,24,shampoo,1,20,14361,4.6,8.23,11.15,0,1,1,0,0,0,0,0,$7.82 with Subscribe & Save discount,0,13 Fl Oz (Pack of 1),"Tomorrow, Jan 25",($0.63/Fl Oz),SheaMoisture Curl and Shine Coconut Shampoo for Curly Hair Coconut and Hibiscus Paraben Free Shampoo 13 oz,http://amazon.com/Shea-Moisture-Coconut-Hibiscus-Shampoo-13/dp/B0038TXGL0/ref=sr_1_20?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-20
B0842YG95G,2022,1,24,shampoo,1,21,25095,4.6,13.99,0,0,1,1,0,0,0,0,0,$13.29 with Subscribe & Save discount,0,28 Fl Oz (Pack of 2),"Thu, Jan 27",($0.25/Fl Oz),"L'Oreal Paris Elvive Total Repair 5 Repairing Shampoo and Conditioner for Damaged Hair, 28 Ounce (Set of 2)",http://amazon.com/LOreal-Paris-Repairing-Conditioner-Conditoner/dp/B0842YG95G/ref=sr_1_21?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-21
B00EHD9872,2022,1,24,shampoo,1,22,7335,4.7,8.99,9.99,0,1,1,0,0,0,0,0,$8.54 with Subscribe & Save discount,0,10 Fl Oz (Pack of 1),"Tomorrow, Jan 25",($0.90/Ounce),"The Honest Company Perfectly Gentle Sweet Orange Vanilla Shampoo + Body Wash, Tear-Free Baby Shampoo with Naturally Derived Ingredients, Sulfate- & Paraben-Free Baby Bath, 10.0 Fl Ounces",http://amazon.com/Perfectly-Tear-Free-Naturally-Ingredients-Paraben-Free/dp/B00EHD9872/ref=sr_1_22?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-22
B00AINMFAC,2022,1,24,shampoo,1,23,60022,4.6,14.84,17.17,0,1,1,0,0,1,0,0,$14.10 with Subscribe & Save discount,0,7 Ounce (Pack of 1),"Tomorrow, Jan 25",($2.12/Fl Oz),"Nizoral Anti-Dandruff Shampoo, Basic, Fresh, 7 Fl Oz",http://amazon.com/Nizoral-Anti-Dandruff-Shampoo-Ketoconazole-Dandruff/dp/B00AINMFAC/ref=sr_1_23?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-23
B00LSV7ZQ2,2022,1,24,shampoo,1,24,368,4.4,19.99,0,0,1,1,0,0,0,0,0,Save more with Subscribe & Save,0,"Tomorrow, Jan 25","Tomorrow, Jan 25",($0.04/Fl Oz),"Ginger Lily Farms Club & Fitness Moisturizing Shampoo for All Hair Types, 100% Vegan & Cruelty-Free, Aloe Vera Scent, 1 Gallon (128 fl oz) Refill",http://amazon.com/Ginger-Lily-Farms-Moisturizing-Cruelty-Free/dp/B00LSV7ZQ2/ref=sr_1_24?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-24
B07BHCB9Y2,2022,1,24,shampoo,1,25,15036,4.4,39.99,0,0,1,1,0,0,0,0,0,Save more with Subscribe & Save,0,2 Piece Set,"Tomorrow, Jan 25",($1.25/Fl Oz),"PURA D'OR Biotin Original Gold Label Anti-Thinning (16oz x 2) Shampoo & Conditioner Set, Clinically Tested Effective Solution w/ Herbal DHT Ingredients, All Hair Types, Men & Women (Packaging Varies)",http://amazon.com/PURA-DOR-Anti-Thinning-Moisturizing-Conditioner/dp/B07BHCB9Y2/ref=sr_1_25?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-25
B07NQ69L7P,2022,1,24,shampoo,1,26,15261,4.7,11.99,15.99,0,1,1,0,0,0,0,0,Save more with Subscribe & Save,0,2 Piece Set,"Tomorrow, Jan 25",($0.30/Fl Oz),"Herbal Essences Repairing Argan Oil of Morocco Shampoo and Conditioner Set with Natural Source Ingredients, Color Safe, BioRenew, 40.4 Fl Oz, 2 Count",http://amazon.com/Herbal-Essences-Conditioner-BioRenew-Repairing/dp/B07NQ69L7P/ref=sr_1_26?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-26
B0743CZWCP,2022,1,24,shampoo,1,27,42895,4.3,29.95,0,0,1,1,0,0,0,0,0,$26.96 with Subscribe & Save discount,0,9.23 Fl Oz (Pack of 1),"Tomorrow, Jan 25",($3.74/Fl Oz),"Purple Shampoo for Blonde Hair: Blonde Shampoo Eliminates Brassy Yellow Tones- Lightens Blonde, Platinum, Ash, Silver and Grays- Paraben & Sulfate Free Toner- Revitalize Bleached & Highlighted Hair",http://amazon.com/Purple-Shampoo-Toner-Blonde-Hair/dp/B0743CZWCP/ref=sr_1_27?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-27
B082YGK39W,2022,1,24,shampoo,1,28,480,4.5,9.99,0,0,1,1,0,0,0,0,0,$9.49 with Subscribe & Save discount,0,8 Fl Oz (Pack of 1),"Tomorrow, Jan 25",($1.25/Fl Oz),"Acure Vivacious Volume Shampoo Echinacea 100% Vegan, White/Blue, Mint, 8 Fl Oz",http://amazon.com/ACURE-Vivacious-Shampoo-Echinacea-Performance/dp/B082YGK39W/ref=sr_1_28?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-28
B08T47QVNR,2022,1,24,shampoo,1,29,8578,4.8,56,0,0,0,1,0,0,1,0,0,0,0,8.5 Fl Oz (Pack of 2),0,($6.59/Fl Oz),"Olaplex No.5 Bond Maintenance Conditioner, 8.5 Fl Oz with Olaplex No.4 Bond Maintenance Shampoo, 8.5",http://amazon.com/Olaplex-No-5-Maintenance-Conditioner-Shampoo/dp/B08T47QVNR/ref=sr_1_29?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-29
B074VLGVJ3,2022,1,24,shampoo,1,30,8693,4.7,6.97,0,0,1,1,0,0,0,0,0,$6.62 with Subscribe & Save discount,0,33.8 Fl Oz (Pack of 1),"Tomorrow, Jan 25",($0.21/Fl Oz),"Garnier Fructis Grow Strong Shampoo, 33.8 Ounces",http://amazon.com/Garnier-Fructis-Grow-Strong-Shampoo/dp/B074VLGVJ3/ref=sr_1_30?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-30
B086S4Q7JH,2022,1,24,shampoo,1,31,8716,4.7,15.89,20.99,0,1,1,0,0,0,0,0,Save more with Subscribe & Save,0,29.2 Fl Oz (Pack of 2),"Tomorrow, Jan 25",($0.27/Fl Oz),"Herbal Essences Shampoo and Conditioner, Vitamin E, Rose Hips and Jojoba Extract, Smooth Collection, Bundle",http://amazon.com/Herbal-Essences-Shampoo-Conditioner-Rose/dp/B086S4Q7JH/ref=sr_1_31?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-31
