ASIN,YEAR,MONTH,DAY,KEYWORD_1,KEYWORD_2,KEYWORD_3,KEYWORD_4,KEYWORD_5,KEYWORD_6,KEYWORD_7,KEYWORD_8,KEYWORD_9,KEYWORD_10,KEYWORD_11,KEYWORD_12,KEYWORD_13,KEYWORD_14,KEYWORD_15,KEYWORD_16,KEYWORD_17,KEYWORD_18,KEYWORD_19,KEYWORD_20,TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07FTFPXWW,2022,3,8,47:12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07F38DR63,2022,3,8,argan oil,sulfate free,gold series,dry and damaged,damaged hair,hair feeling,give it a try,shampoos and conditioners,work well,smells great,curly hair,hair soft,soft and shiny,dry hair,love the smell,feel like,shampoo lathers,like the way,definitely going,clean and not as soft,47:19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B017GGC9BI,2022,3,8,thickening shampoo,fine hair,shampoo and conditioner,goes a long,small amount,dallas thickening,feel like,feel thicker,worth the money,add volume,little goes,long way,works well,love this shampoo,hair feeling,let it air,even though,shampoo makes,blow drying,noticeable difference,47:27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01DCCC84S,2022,3,8,tea tree,paul mitchell,shampoo and conditioner,thinning hair,hair loss,started using,scalp care,tree oil,care anti-thinning,leaves my hair,using this shampoo,continue to use,smells nice,fine hair,small tube,hair looks,plastic bag,lathers really well,able to find,really tell,47:34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B015UVKKSU,2022,3,8,47:40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07PCX5Q65,2022,3,8,curly hair,goes a long,long way,love this stuff,works great,little goes,sleek and shine,highly recommend,frizzy hair,using it for years,shampoo and conditioner,smells good,dry hair,smells amazing,tried many,long time,soft and shiny,flyaways,anti-frizz serum,small amount,47:49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01APTZQWW,2022,3,8,47:56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07QD2PXHG,2022,3,8,sulfate free,frizzy hair,curly hair,marula oil,oréal paris,smells great,everpure line,shampoos and conditioners,works well,helps keep,rinses out easily,goes a long,paris everpure,soft and shiny,frizz free,makes my hair,tried many,leaves my hair,silky soft,frizz control,48:05.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B086CP746H,2022,3,8,beauty and planet,love beauty,leaves my hair,shampoos and conditioners,fine hair,coco water,natural ingredients,smells great,every day,thin fine,large bottle,give this a try,silky smooth,smells good,long time,sulfate free,ounce bottle,body wash,smells like,really good,48:13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B093QJBJWT,2022,3,8,48:19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B004HKQNYG,2022,3,8,hair growth,shampoo and conditioner,hair loss,tonic,satisfied,results,48:27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0891843GD,2022,3,8,highly recommend,strength cure,shampoo and conditioner,color treated,lathers up well,damaged hair,goes a long,long way,small amount,treated hair,spend the money,split ends,really like,sulfate free,makes my hair,strengthening shampoo,leaves my hair,super soft,need to use,hair soft,48:36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09BJFWQC6,2022,3,8,48:43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B084BW599K,2022,3,8,shampoo and conditioner,fine hair,thick hair,makes my hair,smells like,great shampoo,absolutely love,thin hair,love this shampoo,ever used,hair looks,really like,smells great,leaves my hair,feel like,smells amazing,hair feeling,like roses,smells good,thin and fine,48:50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08K9CDH4Y,2022,3,8,leaves my hair,difference in my hair,scalp and hair,hair soft,shampoo,bottle,noticed,scent,watery,oily,smell,smooth,volume,anymore,dry,feeling,lather,shiny,thick,48:57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0924BKYWL,2022,3,8,regular shampoo,smell,dye,shower,stain,bottle,gloves,49:04.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B084D2165G,2022,3,8,49:11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P5Y9KQG,2022,3,8,natural hair,smells great,shampoo,wig,scalp,49:18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B084BVTRPR,2022,3,8,smells like,curly hair,like cake,smell,shampoo,scent,bubblegum,conditioner,curl,cream,frizzy,49:26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00TYAGMP4,2022,3,8,hair loss,biotin and collagen,great shampoo,itchy scalp,great value,highly recommend,started using,fine hair,hair growth,smells good,long time,feel like,sulfate free,every day,smells nice,best shampoo,really like,soft and shiny,hair feeling,get the pump,49:34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07H344SFQ,2022,3,8,shampoo and conditioner,color lock,every time,color treated,works well,treated hair,smells good,colored hair,wash my hair,love this shampoo,definitely recommend,smells great,dyed my hair,made my hair,color lasts,feel like,smells amazing,keeps the color,works great,leaves hair,49:41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01696PW3I,2022,3,8,shampoo and conditioner,colored hair,color shampoo,using this shampoo,made my hair,leaves my hair,color treated,dyed my hair,treated hair,hair so silky soft,hair feel,dry,smell,expensive,scalp,scent,leave,amount,damage,fade,49:48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0923T1LSK,2022,3,8,easy to use,really works,hair dye,hair color,works great,wet hair,hairline from the shampoo,color my hair,bottle,apply,wash,gloves,mix,fade,grays,natural,pump,rinse,scalp,instructions,49:55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B081HQYBJ5,2022,3,8,hair loss,since using,shampoo,bottle,smells,stopped,50:02.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B097F9X82M,2022,3,8,50:08.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08MGL3536,2022,3,8,care and protect,purify and hydrate,light scent,leaves my hair,really like,shampoo smells,hair feeling,oily hair,dry hair,bottles,scalp,lathers,gentle,shampoos,shine,wash,manageable,moisturizing,removes,cause,50:16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B072XSS496,2022,3,8,apple cider,transition period,cider vinegar,vinegar rinse,yellow bird,shampoo bars,every other day,really wanted,love this shampoo,works great,eco friendly,squeaky clean,wanted to like,tea tree,waxy residue,washing my hair,smells nice,grapefruit rosemary,acv rinse,started using,50:24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B002N5MKLW,2022,3,8,moroccanoil,moisture repair,repair shampoo,hair soft,love this shampoo,curly hair,color treated,great shampoo,little bit,goes a long,smells like,ever used,damaged hair,highly recommend,best shampoo,long way,smells great,love the smell,hair feeling,worth the price,50:31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00C7QH98Q,2022,3,8,shampoo and conditioner,best shampoo,split ends,shampoo ever,huge difference,hair loss,lasts a long,feel thicker,long time,favorite shampoo,hair feel,smells good,great shampoo,feel like,works great smells great,using this shampoo,hair is stronger,hair is very fragile,hair is much,makes my fine hair,50:38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B083V6HJ5X,2022,3,8,leaves my hair,volumizing shampoo,smells great,boost up volumizing,rinses out easily,big boost,rinses well,smells amazing,hair feeling,oily hair,best shampoo,shampoo and conditioner,shampoo i have used,used this shampoo,hair volume,scent,bottle,thick,smell,lathers,50:45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B071KMQY8L,2022,3,8,50:52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SSRQW2V,2022,3,8,shampoo and conditioner,dry hair,leaves my hair,soft mega,highly recommend,love this shampoo,mega shampoo,makes my hair,extremely dry,feel like,work well,hair feeling,best shampoo,curly hair,good shampoo,dry coarse,soft and manageable,soft and shiny,super soft,coarse hair,51:00.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01N0103LP,2022,3,8,shampoo and conditioner,curly hair,smells great,thick curly,maui moisture,smells amazing,coconut oil,seems like,leaves my hair,feel like,using this shampoo,hair soft,conditioner combo,hair care,goes a long,little goes,hair feeling,highly recommend,conditioner set,curl quench,51:09.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B005DUA4US,2022,3,8,hair loss,thinning hair,started using,using for years,really works,helped it to grow,size bottle,bald spot,makes my hair,shampoo and conditioner,stopped falling,like straw,hair growth,several years,stop using,best shampoo,cleanser shampoo,great shampoo,smells great,hair feels,51:17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B089R49FSS,2022,3,8,51:24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07NXT9746,2022,3,8,51:31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0829WJWP9,2022,3,8,using this shampoo,hair feels,smell,scent,baby,losing,stop,thicker,51:38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08L8B421V,2022,3,8,brown hair,dark brown,light brown,highly recommend,stain your hands,let it sit,dry hair,brassy orange,works great,purple shampoos,color balance,blond highlights,see a difference,huge difference,ash brown,little bit,blonde hair,color treated,shimmer lights,orange brassy,51:45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B013X3IAU2,2022,3,8,hair loss,shampoo and conditioner,hair fall,gold label,thinning hair,waste of money,argan oil,every day,hair growth,see results,highly recommend,loss prevention,tea tree,new growth,organic argan,see a difference,amount of hair,natural ingredients,therapy shampoo,every time,51:53.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01D3L3VS0,2022,3,8,every day,fine hair,hair feeling,leaves my hair,clarifying shampoos,feel like,love this shampoo,feeling clean,makes my hair,use it once a week,blonde hair,shampoo love,shampoo works,hair greasy,hair use,conditioner,oily,dry,filmy,wash,52:07.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09NY6L5D7,2022,3,8,52:13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B074Q417W2,2022,3,8,shampoo and conditioner,fine hair,essential oils,much better,curly hair,little goes,leaves my hair,goes a long,long time,smells like,long way,like straw,hair feels,works great,works well,smells amazing,feel like,hair shiny,hair and that is usually,hair fine,52:21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01FQ4BAY4,2022,3,8,shampoo and conditioner,keratin treatment,global keratin,easy to use,dark brown,sulfate free,treated hair,best shampoo,keratin treated,several years,color treated,last long,highly recommend,smells good,hair feeling,anything else,great shampoo,moisturizing shampoo,cover the gray,dry brittle,52:29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B073GQJ1DW,2022,3,8,shampoo and conditioner,love love love,wash my hair,apple cider,leaves my hair,curly hair,smells great,long way,love this shampoo,started using,using this shampoo,hair feels,shampoo ever,cleans my hair,hair soft,shampoo is that it smells,great shampoo,shampoo love,hair love,bottle,52:36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01MG7RBPG,2022,3,8,shampoo and conditioner,made my hair,hair shampoo,dry,miracle,salon,wash,recently,results,twice,52:44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09FHLF8YT,2022,3,8,52:51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08N6H181B,2022,3,8,sulfate free,shimmer lights,blonde hair,purple shampoos,smells good,smells great,smells amazing,best purple,brassy tones,john frieda,absolutely love,twice a week,works well,works pretty,love this shampoo,regular shampoo,dark brown,every wash,love the smell,feel like,52:58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01MRG37D1,2022,3,8,orchid oil,color treated,treated hair,oil ogx shampoo,hair feel,love the smell,great shampoo,hair color,hair love,smells,conditioner,bottle,shampoos,thick,dried,fading,lovely,smooth,wash,53:05.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0941YDPSW,2022,3,8,fine hair,shampoo bars,hair soft,whole blends,lathers well,oat delicacy,soft and manageable,use a conditioner,feel like,delicacy softening,dry hair,blends oat,easy to use,softening shampoo,shampoos and conditioners,wet hair,best part,plastic packaging,leaves my hair,every time,53:13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07D324STG,2022,3,8,shampoo and conditioner,hair loss,gold label,really works,small amount,waste of money,professional grade,every day,worth the money,new growth,less hair,hair feels,thinning hair,ever used,anti-hair thinning,decided to try,much better,weeks ago,going back,works well,53:21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B097NDWTJX,2022,3,8,53:27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08N7VDKB8,2022,3,8,dry shampoo,authentic beauty,beauty concept,concept dry,white residue,leave white,vegan cruelty-free,style grip,types style,highly recommend,grip refresh,every day,pretty good,freshly washed,baby powder,cruelty-free sulfate-free,day hair,make my hair,white cast,works great,53:42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B093CRX23W,2022,3,8,53:51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P1V2SG4,2022,3,8,shampoo and conditioner,hair loss,hair growth,started using,love the smell,fine hair,hair regrowth,smells amazing,conditioner set,peppermint rosemary,work well,made in usa,scalp feel,less hair,dry and brittle,essential oils,since i started,hair dry,feel like,highly recommend,53:58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08QLXVBFS,2022,3,8,54:05.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08RYZNG79,2022,3,8,bust your brass,shampoo and conditioner,brass shampoo,purple shampoo,bottle,blonde,expensive,moisturizing,brassy,dry,smell,54:12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00014DKB6,2022,3,8,tea tree,triple treat,leaves my hair,itchy scalp,tree oil,tree triple,highly recommend,works well,clarifying shampoo,love this shampoo,cruelty free,feel like,curly girl,squeaky clean,shampoo and conditioner,tingling sensation,lathers well,dry hair,girl method,smooth as silk,54:20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B06XZR1KWK,2022,3,8,fine hair,highly recommend,thickening spray,goes a long,hair loss,long way,small amount,tried many,really works,thinning hair,little goes,without drying,feel like,best shampoo,give it a try,baby fine,smells good,sulfate free,really like,game changer,54:28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0098QPV3I,2022,3,8,moroccanoil,shampoo and conditioner,hydrating shampoo,long way,hair soft,goes a long,small amount,waste of money,ever used,like straw,feel like,best shampoo,highly recommend,love this shampoo,hair feeling,love the smell,curly hair,shampoo ever,buyer beware,smells like,54:35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09PJ4HWCP,2022,3,8,54:44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00BSE4HXI,2022,3,8,white hair,silver hair,grey hair,really like,hard to find,used this shampoo,several years,silver plus,find in stores,highly recommend,good value,using it for years,best shampoo,hair soft,silver white,shampoo and conditioner,shampoo for years,love this shampoo,get compliments,longer sold,54:53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B074PY4QJC,2022,3,8,long way,goes a long,little goes,curly hair,shampoo and conditioner,ever used,hair feels,worth the price,little bit,feel like,love this brand,made my hair,used with the conditioner,hair bath,love this shampoo,hair care,wavy hair,amazing and my hair,dry hair,moisturizing,54:59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B071WWK11X,2022,3,8,make sure,dry hair,dark brown,blonde hair,highly recommend,let it sit,brown hair,deep conditioner,feel like,orange and yellow,purple shampoos,much better,stains your hands,works great,bleached hair,shimmer lights,naturally dark,orange hair,regular shampoo,light brown,55:08.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08476RBKY,2022,3,8,hair soft,goes a long,highly recommend,long way,purple shampoos,dry and damaged,feel like,waste your money,smells great,keratin treatment,stain your hands,get rid,dark brown,every 30 days,little goes,soft and shiny,worth the money,hair felt,make sure,keratin purple,55:15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00D5S65HQ,2022,3,8,fine hair,thin hair,great shampoo,fine thin,like this shampoo,shampoo for fine,pump,shampoos,body,smell,thick,volumetry,volumizing,dry,feeling,gone,leaking,oreal,salon,waste,55:22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07RZ9B33D,2022,3,8,itchy scalp,highly recommend,far so good,started using,smells good,scalp issues,much better,tried many,every day,hair soft,works great,fungal infection,dry scalp,antifungal,seborrheic dermatitis,hair loss,really works,definitely recommend,give it a try,using it for a week,55:29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07GZYV5ZX,2022,3,8,leave in conditioner,pomegranate and honey,low porosity,mielle organics,hair soft,sculpting custard,works well,highly recommend,curl pattern,curly hair,natural hair,works wonders,coil sculpting,job done,smells so good,curl smoothie,dry and brittle,waste of money,mielle pomegranate,leave-in conditioner,55:37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08P5Z1RP3,2022,3,8,curly hair,curl define,define shampoo,works well,sulfate free,hair soft,enhancer strengthening,curly and coily,half of the bottle,every time,shampoo and conditioner,curl enhancer,leaves my hair,soft and smooth,smells really,free for curly,rinses clean,shampoo sulfate,hair feels,really like,55:45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07RD44V6Z,2022,3,8,shampoo and conditioner,makes my hair,hair loss,leaves hair,hair feels,hair soft,started using,hair fall,love this shampoo,love this stuff,smells like,curly hair,best for your hair,great shampoo,hair using,dry,smell,scalp,bottles,broken,55:52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B097FFNFZQ,2022,3,8,curly hair,works great,devacurl,cleans well,week my hair,hair and scalp felt,hair is curly,curls,scalp,no-poo,cleanser,wash,bottle,expensive,helps,leaves,dried,frizzy,gel,poo,56:02.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0882JHCTC,2022,3,8,sulfate free,tea tree,scalp scrub,times a week,color treated,dry scalp,tree oil,paris everpure,dead skin,dry itchy,care detox,even though,scalp care,treated hair,dry skin,feel like,good job,hair feeling,oreal paris,use it once a week,56:10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07HZ1QMVP,2022,3,8,year old,oily hair,smells great,works great,old daughter,smells amazing,body wash,highly recommend,feel like,head and shoulders,decided to give,give it a try,hair still,thick hair,started using,days without,find something,old son,next day,greasy hair,56:18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09PJ4WYNV,2022,3,8,56:25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0725CQ787,2022,3,8,gold label,hair loss,best shampoo,highly recommend,makes my hair,thinning hair,hair fall,using pura,shampoo ever,completely different,shampoo and conditioner,using this for 4 years,started using,natural ingredients,years ago,original gold,hair looks,hair growth,far so good,help thinning,56:33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B087CY8B2R,2022,3,8,argan oil,long hair,great shampoo,makes your hair,hair soft,like this shampoo,pump,healthy,scent,thicker,moisturizing,natural,smell,56:40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08N6HJ3HF,2022,3,8,56:47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01LY961X1,2022,3,8,oily hair,every day,oily roots,dry ends,oily scalp,love this shampoo,roots and dry,without washing,great for oily,oreal paris,extraordinary clay,expert extraordinary,care expert,best shampoo,fine hair,highly recommend,wash my hair every,hair feeling,days without,hair soft,56:55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0743CZWCP,2022,3,8,best purple,purple shampoos,highly recommend,bold uniq,blonde hair,dry hair,really works,use gloves,next time,regular shampoo,platinum blonde,definitely recommend,goes a long,second time,worth the money,follow the directions,good conditioner,love love love,let it sit,ash blonde,57:03.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09F8N1LW9,2022,3,8,shampoo and conditioner,tea tree,biotin shampoo,hair loss,rosemary and mint,highly recommend,essential oils,luxeorganix,color treated,sulfate free,every day,hair growth,love the smell,tree and rosemary,treated hair,fine hair,keratin treated,looks and feels,itchy scalp,smells good,57:11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07JDPSYM6,2022,3,8,sulfate free,hair feeling,sensitive skin,citrus and mint,really like,highly recommend,love this shampoo,squeaky clean,smells nice,cleans well,natural shampoos,works great,fine hair,essential oils,everyday,tried many,natural ingredients,hair soft,dish soap,ever used,57:18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B089165CCF,2022,3,8,57:27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0143J7I76,2022,3,8,color treated,leaves my hair,treated hair,love this shampoo,makes my hair,hair soft,shampoo and conditioner,hair feel,color last,bottle says matrix shampoo,shampoo bottle,dry,scent,colored,shampoos,smell,salon,shiny,authentic,fantastic,57:35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09BJFWQC6,2022,3,8,57:43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B097NB98ZB,2022,3,8,57:53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08PCLM61W,2022,3,8,damaged hair,keratin repair,long way,soft and is manageable,really like,shampoo for damaged,repair shampoo,hair feeling,great shampoo,tresemme,conditioner,smell,thick,lathers,fantastic,pleasant,bottle,brands,exception,recently,58:00.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07THD89S3,2022,3,8,shampoo and conditioner,inside of the amazon package,waste of money,smells like,color treated,used this product for years,color my hair,hair felt,bottle of shampoo,smell,mess,greasy,leaked,packaging,poor,spilled,dry,hairdresser,loss,purchasing,58:07.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09GXQHY9P,2022,3,8,58:14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01N2UMUA7,2022,3,8,58:20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07JJ2CG7L,2022,3,8,hair food,leaves my hair,shampoo and conditioner,sulfate free,chai spice,hair feeling,goes a long,love this shampoo,coconut chai,long way,lathers nicely,best shampoo,works well,tried so many,little goes,food shampoo,see how much,really like,hair soft,makes my hair,58:28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01NGYZAI4,2022,3,8,pyrithione zinc,dandruff shampoo,peppermint oil,antidandruff shampoo,works great,dry scalp,itchy scalp,cucumber extract,leaves hair,goes a long,oil and cucumber,scalp care,care pyrithione,anti-dandruff shampoo,less itchy,zinc antidandruff,soft and clean,antidandruff,hair soft,good shampoo,58:34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00P6QNB1I,2022,3,8,oily hair,greasy hair,every day,feel like,cooling sensation,worth the money,without washing,cooling mint,works great,excess oil,feeling clean,itchy scalp,couple weeks,really works,shampoo was really,salon quality,feels great,hair look,smells nice,great shampoo,58:46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08QQ96B7T,2022,3,8,58:53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08HY9J2Q2,2022,3,8,59:00.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
